Team ,2017 Attendance,2018 Attendance,% change 18’ to 19’,2019 Attendance,% change 18’ to 19’,
Tigers,"2,321,599","1,856,970",-20.0%,"1,501,430",-19.1%,
Indians,"2,048,138","1,926,701",-5.9%,"1,738,642",-9.8%,
Twins,"2,051,279","1,959,197",-4.5%,"2,294,152",17.1%,
Royals,"2,220,370","1,665,107",-25.0%,"1,479,659",-11.1%,
White Sox,"1,629,470","1,608,817",-1.3%,"1,649,775",2.5%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
